primary_rank,target,hyper_split,search_method,split,seed,test_size,model,descriptor,descriptor_family,RMSE_test,MAE_test,R2_test,Spearmanr_test,RMSE_train,RMSE_gap
29,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,rf,rdkit_soap_xtb,all,0.2739234929981795,0.1970227739718782,0.9098225653962548,0.9036144578313254,0.1425892342772231,0.1313342587209564
30,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,rf,rdkit_xtb_acsf,all,0.2766015420772282,0.1956576017388357,0.9080506828948652,0.909709297896192,0.1421178037882537,0.1344837382889745
31,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,lgb,rdkit_soap_acsf,rdkit+geometry,0.2772854426327478,0.1889961001922436,0.90759542925078,0.9080549841642996,0.088339170460355,0.1889462721723928
32,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,lgb,acsf_xtb,xtb+geometry,0.2782326020335278,0.1825325566547782,0.9069630748304572,0.924097473906466,0.0689074097574532,0.2093251922760746
33,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,rf,rdkit_soap_acsf,rdkit+geometry,0.2801391820342533,0.1995969759414424,0.9056836410548093,0.9065530414340288,0.1406784101546899,0.1394607718795634
34,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,rf,rdkit_soap_xtb_acsf,all,0.2878058394769837,0.2062472119380857,0.900450629786979,0.906030626571326,0.146769127751269,0.1410367117257147
35,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,xgb,rdkit,rdkit,0.2937087130137703,0.1904003730585526,0.8963252552790875,0.8985209129199727,0.1984307276511605,0.09527798536260979
36,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,lgb,rdkit,rdkit,0.3047938359096027,0.1830785703861961,0.8883518134385877,0.9016554020961898,0.1713881829333557,0.13340565297624699
37,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,rf,rdkit,rdkit,0.3070195280199286,0.1788034362878322,0.8867152857426102,0.9004364340832165,0.1861757452037004,0.1208437828162282
38,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,lgb,xtb,xtb,0.3072798438259892,0.2202591854729971,0.8865231005496531,0.894776939737269,0.1694785877763041,0.13780125604968513
39,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,lgb,soap_acsf,geometry,0.320291260900747,0.1894746517892465,0.8767095344627883,0.8869842513686182,0.0798306817128706,0.2404605791878764
40,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,xgb,acsf,geometry,0.3281126735545857,0.2213747781197135,0.8706145843506404,0.8587303142107727,0.1227427053804104,0.20536996817417527
41,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,lgb,acsf,geometry,0.3391341821463329,0.2400240496143161,0.8617763219027688,0.8555087558907719,0.1232219753573535,0.21591220678897938
42,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,rf,acsf,geometry,0.3783051994914786,0.2584992240865124,0.828001786976291,0.8679596434518564,0.2092197285810044,0.1690854709104742
43,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,xgb,soap,geometry,0.6727988421824573,0.5211685057352694,0.4559863648916501,0.6085153622620565,0.6807823162815871,-0.007983474099129806
44,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,lgb,soap,geometry,0.6773741681855738,0.5248916884123505,0.4485621457852488,0.6107356254285435,0.6844236969268707,-0.007049528741296829
45,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,rf,soap,geometry,0.7067364719902327,0.5087785115551939,0.3997193799101691,0.5377063810798751,0.7046474346628894,0.002089037327343335
